cause,effect,explanation
Calcium deposits in Tom's arteries.,He is suffering from arteriosclerosis.,Arteriosclerosis is caused by calcium deposits in the arteries.
Mangabeys took over the forest.,The forest covers a vast area.,Cambodia is one of the most remote regions on earth.
Jack lives in the tropics.,Jack's residence produces a lot of sugarcane.,Sugarcane is one of the mainstays of tropical food production.
Snowflakes fell down in the humid weather.,People used umbrella to resist sleet.,Sleet is one of the most effective ways to prevent fall damage.
The hippo and the breeder in the zoo are chasing a ball.,The hippo won.,Hippopotamuses chase balls.
Tom went to a drama show last night.,Tom went home after the stops.,Comedy has stops.
There is still vegetation near the stream during the dry periods.,The stream keeps flowing.,Streams flow through vegetation.
My companion were tired.,They returned home.,Companions return home to companions.
Light can be relax.,Scientists show this is Alpha.,Beta is a state of relaxation.
The farmer's wheat got enough nutritions.,The production was of good quality.,Wheat contributes to the production of nutrients.
Jack put the quilt in the sun to dry.,The quilt is warm.,Quilts provide warmth.
The witch was not allowed to enter indigenous women's sites.,She had no place to practise rituals.,Witches have places.
Lucy took good care of her baby carefully.,Her baby was healthy when she grew up.,Health is the ability to live a healthy life.
The angel controls the Kingdom of Heaven.,Dominion is part of his responsibility.,Dominion refers to the ability of angels to control the kingdom of heavens.
Tom drew some blood to check his body.,The doctor found that the number of red pigment hemoglobins was too high.,Blood draws contain hemoglobin.
Why do songbirds migrate at night?,It is safer for them.,Songbirds migrate during the day.
The canal was lack of water.,The government decided to pump sea water and replace hem in the canal.,Elimination is the removal of water from the canal by pumping sea water.
He wants to have more muscles.,He took in more zinc.,Zinc is a mineral found naturally in the body.
The master has no lust.,He will not be messed up with love.,Love is the state of being without lust.
The laboratory was asked to study special chromosome traits.,White recommended that the experimenters study the chromosome traits of voles.,Voles are a special type of white.
The vegetations in our garden was out of control.,We bought herbicides to deal with this problem.,Vegetation is one of the most effective ways to control weeds.
Tom has bought a brightness can.,He can see the path clearly at night.,Brightness is defined as the distance from the source of light to the object it is focusing on.
Mary poured leonardite into a glass of alkali.,The remaining fraction of leonadite is humin.,Leonadiol reacts with alkali to produce leonolite.
John became the new leader of the apostolic church.,His goal of evangelism became firmer.,Evangelism is the movement of believers from one faith to another.
I am responsible for the health management of my child.,I need to plan for his vaccinations.,Vaccines are the most effective way to prevent childhood diseases.
Scientists found that ptarmigans have different colors in different seasons.,"They observe white ptarmigans in winter, but brown ptarmigans in summer.",Prickarmigans are white in winter but brown in summer due to seasonal variation.
John is an orphan.,He has no parents.,Orphans are children who have no parents at all.
The school provides nutritious meals for students.,Students can eat a lot of fruits and vegetables every day.,Schools provide nutritious meals to students.
There is some intercellular matrix of cartilage.,The doctor gave him some medicine containing papain.,Papain is one of the many drugs used to treat diseases.
He needs to eat foods that are naturally high in nutrition when he is sick.,His mother made lentils for him.,Lentils are high in carbohydrates.
Tom helps Lucy in studying English.,Lucy gained a great success in the English examination.,Examinations are examinations of knowledge.
Tom is looking for some strong materials.,Tom will choose nanotubes over steel.,Nanotubes are stronger than steel.
The little boy digged out a lot of smalite.,The researcher found that it was cobalt.,Cobalt is a silvery-white mineral.
Tom often eats pineapples.,His mucus is decreasing.,Pineapples contain mucus.
Joy raises a bluebird in her yard.,She needs to provide dead bugs everyday.,Bluebirds feed on dead bugs.
Test revealed a something growing on his brain coverings.,The doctor said it was meningiomas.,Meningiomas are the most common cause of brain damage in men.
Lila was sitting under an apple tree.,Lila was beaned by an apple falling from the tree.,An apple falls from a tree.
John compared Iridium with platinum.,H e found both are white but Iridium has a slight yellowish cast.,Platinum has a slightly yellowish-white cast.
Tom has been heavily crashed down by a car.,He can't control his passage of stool.,Stools carry weight.
He is worried about his fibroadenomas will become malignant.,The doctor says it is impossible to become malignant.,Fibroadenoma is the most common type of cancer in men.
The seller had grown these breeds for a long time.,He would sell the mature breeds.,Breeds require breeding.
Scientists observe hemispheres.,Scientists have observed the jet streams.,Hemispheres are jets flowing from one hemisphere to the other.
