The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
I planted dogwoods in my garden. It thrived without being overwhelmed by other various plants.,Dogwoods are tolerant of competition from many other plants.,Dogwoods are one of the few plants to thrive in a wide variety of climates.
I once used ointments. I think lotions are better.,Lotions are much thinner than ointments.,Ointments can be very effective in the treatment of many types of skin conditions including acne vulgaris.
Customers should be informed of safety instructions. Attendants who are familiar with safety instructions are needed.,Attendants provide safety instruction.,Attendants provide safety instruction.
The poor lady became our queen. She could live her natural life span.,Queens live natural life span.,Kingdom is the natural lifespan of a human being.
People have long been inseparable from petrochemicals such as plastics. Experts worry that the environmental protection policy on petroleum use will be aborted.,Petrochemicals are chemicals derived from petroleum.,Pretotoxins are the leading cause of cancer in animals.
My phone is fully charged. I can make calls now.,Charge has effects.,I use a voice dialer.
Rodents have special teeth. Teeth show one of their characteristics.,Rodents have characteristics.,Teeth have special features.
John saw the criminal's face and told the police. The police got the criminal.,Criminals have faces.,Cops use facial recognition technology.
Tom has many kinds of waterfowl in his farm. Tom needs to prepare a variety of different feeds.,Waterfowls eat vary diets.,Fowl feed on a wide variety of foodstuffs.
He is a slave to the landlord's family. He was forced by the landlord to do something.,Slavery is something imposed upon a human being by another at some moment after birth.,Slavery is a system in which the owner is the servant of the owner.
The boss made over all his equity in the company. He no longer has the ownership interest of the business enterprise.,Equity is the ownership interest of the business enterprise.,Equity is the ownership of a business enterprise owned by one person.
The plastic was decompsed. There are a lot of carbon dioxide around it.,Decomposition releases carbon dioxide.,Carbon dioxide is the main cause of global warming.
Mary wants to have a localized massage on her hands. The doctor tells her to do acupressure.,Acupressure is a type of highly localized massage.,Acupressures are the local massage of the upper body.
The examination data showed severe calcification. The doctor said she had an aging placenta.,Calcification is a sign of placental aging.,Calcification is the gradual loss of the white blood cell from the placentas.
The citizens hope the government can build more ways. The government considers different environmental consequences.,Ways have different environmental consequences.,Diversification is the process of converting a natural resource into a renewable resource.
Peregrines passed my sight. I saw swift shadows.,Peregrines are fast fliers.,Reefs have sharp teeth.
Tom wants to collect some remains of marine invertebrates. He picked up a lot of seashells.,Seashells are among the most familiar remains of marine invertebrates.,Sea urchins are one of the most common sea urchin species.
This hamburger restaurant ran out of meat. It ordered raw meat from the farm of cattles.,Hamburgers come from dairy cattle.,Cattles are a family of fast-food chains.
Lisa went to the zoo and saw the stag. She saw that most stags are dark brown with a prick on their neck.,Stags tend to be a much darker brown with a scruff of hair on the front of the neck.,Stag have a small patch of reddish-brown fur on their head.
He is addicted to alcohol. He can't control his life.,Alcoholism results in loss of control.,Alcohol is a leading cause of death from alcohol-related causes in the United States.
He earned a lot of mony this season compared with last one. His profit increased a lot.,Profit is the increase in wealth in a period.,Mony is a measure of the amount of money a company has invested in a particular business.
The bomb on the left exploded. The bomb next to it exploded too.,Explosions produce explosions.,Bombers have explosive devices.
The doctor told William that his eyesight was gradually losing. The doctor used radiotherapy to treat William.,Radiotherapy uses low dose radiation to stop the progression of vision loss on the retina.,Radiotherapy is the most common type of radiation therapy used in the treatment of cancer.
