Geese spend a lot of time staying in their nests. Geese build their nests carefully.,Geese prefer nests., They don't leave their nests until they're ready to lay eggs.
"As the environment deteriorates, the mass of the star decreases. It becomes less bright than before.",Stars vary in brightness throughout their lives based primarily on their mass.,"

Starlight is released by the Sun."
The guide lead the tourists to climb the mountain. The guide adviced the tourists to have a rest.,Guides advise tourists.,"

Tourists are encouraged to enjoy the view of the mountains."
They are asked to make composites. They used several different materials.,Composites are solid materials made of substances with different physical characteristics., Composites can be made from many different types of materials.
Mike's parents sent Mike to learn decryption. Mike learned to reverse the unintelligible data into meaningful data using a key.,Decryption is the process of reversing the unintelligible data into meaningful data using a key., Mike's parents also gave Mike a key to decrypt data.
"Tom has a peel. Since then, Tom's skin has become red.",Peels can sometimes cause persistent redness of the skin.,"

Tom is very sensitive to light."
Lucy has bought a professional book. She firstly gave a look at the guideline.,Publications explain common guidelines.,"

""I thought it was a good guideline,"" she said."
"Metals with high conductivity can be used to make wires. Copper, tin and aluminum are all good choices.",Tin is a metal with a high conductivity.,"

Copper is the most conductive metal in the world."
Lily has conflict with Lucy. Their friends mediate their conflicts.,Mediation is a process used in helping people resolve conflicts., Lucy is the only one who has a relationship with Lily.
There are many dwarfism patients. Most of them have achondroplasia.,Achondroplasia is the most common type of dwarfism.,"

Dwarfism is the most common type of dwarfism."
John was not armed. He picked up a stick.,Sticks are arms.,"

""I don't know if it's a gun or a knife,"" he said."
Host switch occurred between the two patients. Plasmodium vivax malaria of one of them was passed to the other.,Host switch leads to emergence of Plasmodium vivax malaria in humans., Both patients showed no signs of malaria.
This is a case of recidivism. The criminal repeated his previous crime.,Recidivism involves repeat offenders of the same crime., Recidivism is the process by which a person acquires a new criminal record.
"In an orchard, a photographer prepares to take a picture of papaya flowers. The grower tells the photographer to come back when the papayas are about one meter tall.",Papayas start flowering when they are about one metre tall.,"

Papaya grows well in the United States."
Jack is an agronomist. He studies the particular plant science concerning crop production.,Agronomists study the particular plant science concerning crop production., He is a member of the Agronomists Association.
It is said that brachiopods appeared in that forest. Many biologist went there for their rarity.,Brachiopods are rare today., Brachiops have a wide range of habitats.
She keeps some ringtails. She bought some meat as fodder.,Ringtails are omnivores but seem to prefer meat., She is a vegetarian.
John bought some kits. Their total weight is 100 ounces.,Kits weigh ounces.,"

The kit includes the following items:

Cotton balls."
Poison damages protein by destroying the peptides. The protein expression will not be regulated in this case.,Peptides regulate some aspects of protein expression.,"

Phosphatidylcholinesterase (PChE) is an enzyme involved in."
I didn't know what the small brown capsule was. My father told me it was a pupae.,Pupae are small brown capsules., He said it looked like a dog.
Kudus are African animals. We can see many stripes on their backs.,Kudus have blades., They have long tails.
The blanket was dirty. He cleaned the surfaces.,Blankets have surfaces.,"

""I didn't want to touch anything,"" he said."
The plankton bloom all died of the pollution. The manta was hungry.,Manta rays as they feed on plankton bloom.,"

Manta eat plankton."
The plane was hit in thunderclouds. It was destroyed by large amounts of electrical energy.,Thunderclouds build up large amounts of electrical energy.,"

On the other side of the storm, the wind is strong enough to cause a tornado."
Tom is four-month years old. He can walk.,Cubs start to walk at four months of age., He has a cane.
I want judge her boyfriend. I try to watch his behaviours.,Judging  watchs., I want to see if he's doing the right thing.
The metal was conducting electricity. The electrons tiny charged particles inside atoms carried the electricity.,Electricity flows through a material carried by electrons tiny charged particles inside atoms.,"

""Electrons are very small in size, but they can conduct electricity."
